AR_Ref,FA_CodeFamille,AR_Design,Colonne1,AR_PrixVen,Stock TOTAL
HP500,BATORDPOR,HP BATTERIE ORDINATEUR 500/520,BATTERIE ORDINATEUR PORTABLE,10000,2
HP510,BATORDPOR,HP BATTERIE ORDINATEUR 510 HP 510/HP 530,BATTERIE ORDINATEUR PORTABLE,10000,5
HP5101LHAT,BATORDPOR,HP BATTERIE ORDINATEUR 5101/GC06,BATTERIE ORDINATEUR PORTABLE,25000,0
HP5220,BATORDPOR,HP BATTERIE ORDINATEUR 5220,BATTERIE ORDINATEUR PORTABLE,10000,0
HP5220M6,BATORDPOR,HP BATTERIE ORDINATEUR 5220M-6,BATTERIE ORDINATEUR PORTABLE,10000,5
HP5310,BATORDPOR,HP BATTERIE ORDIANTEUR 5320M/5310M/5320/5320/5320M / FL06 / FL04 /,BATTERIE ORDINATEUR PORTABLE,25000,0
HP5330,BATORDPOR,HP BATTERIE ORDINATEUR 5330,BATTERIE ORDINATEUR PORTABLE,10000,0
HP5330M,BATORDPOR,HP BATTERIE ORDINATEUR 5330M    PROBOOK 5330M / FN04/5330,BATTERIE ORDINATEUR PORTABLE,15000,0
HP5560,BATORDPOR,HP BATTERIE ORDINATEUR 5560,BATTERIE ORDINATEUR PORTABLE,10000,0
HP6440B,BATORDPOR,HP BATTERIE ORDINATEUR 6440B,BATTERIE ORDINATEUR PORTABLE,10000,0
HP6520S,BATORDPOR,HP BATTERIE ORDINATEUR 6520S/COMPAQ 515/510/511/516/540/541,BATTERIE ORDINATEUR PORTABLE,10000,8
HP6530B,BATORDPOR,HP BATTERIE ORDINATEUR 6530B/6535B/HSTNN-UB68/8440P/6735B/6930P/OB06,BATTERIE ORDINATEUR PORTABLE,10000,1
HP6720S,BATORDPOR,HP BATTERIE ORDINATEUR 6720S/HP 550/6720S/ DD06 / 6720S,BATTERIE ORDINATEUR PORTABLE,10000,0
HP8310P,BATORDPOR,HP BATTERIE ORDINATEUR 8310P,BATTERIE ORDINATEUR PORTABLE,10000,8
HP8310PBK,BATORDPOR,HP BATTERIE ORDINATEUR 8310PBK,BATTERIE ORDINATEUR PORTABLE,10000,0
HP8470P,BATORDPOR,HP BATTERIE ORDINATEUR 8470P/6360/8460P,BATTERIE ORDINATEUR PORTABLE,10000,0
HP8530P,BATORDPOR,HP BATTERIE ORDINATEUR 8530P/ELITE BOOK 8530P/8530W/8540P/8730P,BATTERIE ORDINATEUR PORTABLE,15000,1
HP8560W,BATORDPOR,HP BATTERIE ORDINATEUR 8560W,BATTERIE ORDINATEUR PORTABLE,10000,1
HP8760W,BATORDPOR,HP BATTERIE ORDINATEUR 8760W,BATTERIE ORDINATEUR PORTABLE,10000,1
HPAB06XL,BATORDPOR,HP BATTERIE ORDINATEUR AB06XL/HSTNN-DB8C,BATTERIE ORDINATEUR PORTABLE,20000,0
HPAO04,BATORDPOR,HP BATTERIE ORDINATEUR AO04,BATTERIE ORDINATEUR PORTABLE,10000,12
HPAR08,BATORDPOR,HP BATTERIE ORDINATEUR AR08 SERIES HP ZBOOK 15 MOBIL,BATTERIE ORDINATEUR PORTABLE,10000,0
HPB1900,BATORDPOR,HP BATTERIE ORDNATEUR B1900,BATTERIE ORDINATEUR PORTABLE,10000,2
HPBG06XL,BATORDPOR,HP BATTERIE ORDINATEUR BG06XL,BATTERIE ORDINATEUR PORTABLE,20000,0
HPBI03XL,BATORDPOR,HP BATTERIE ORDINATEUR BI03XL/ON03XL/HSTNN-UB6W,BATTERIE ORDINATEUR PORTABLE,20000,0
HPBL06,BATORDPOR,HP BATTERIE ORDINATEUR BL06/BL06XL,BATTERIE ORDINATEUR PORTABLE,25000,0
HPBP02XL,BATORDPOR,HP BATTERIE ORDINATEUR BP02XL/ BP02041XL /HSTNN-LB7H,BATTERIE ORDINATEUR PORTABLE,15000,1
HPBR04XL,BATORDPOR,HP BATTERIE ORDINATEUR BR04XL,BATTERIE ORDINATEUR PORTABLE,25000,2
HPBT04XL,BATORDPOR,HP BATTERIE ORDINATEUR BT04XL/BT04/BA06/BA06XL/ / 9470M / 9480M /,BATTERIE ORDINATEUR PORTABLE,20000,0
HPCA06,BATORDPOR,HP BATTERIE ORDINATEUR CA06/CA09 645 G1 /,BATTERIE ORDINATEUR PORTABLE,10000,0
HPCC06,BATORDPOR,HP BATTERIE ORDINATEUR CC06 / HCC03 /,BATTERIE ORDINATEUR PORTABLE,10000,0
HPCM03XL,BATORDPOR,HP BATTERIE ORDINATEUR CM03XL / 840 G1 /,BATTERIE ORDINATEUR PORTABLE,20000,17
HPCS03XL,BATORDPOR,HP BATTERIE ORDINATEUR CS03XL/745 G3/ 840 G2/ 850 G3....,BATTERIE ORDINATEUR PORTABLE,20000,0
HPD1900,BATORDPOR,HP BATTERIE ORDINATEUR D1900,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDB06XL,BATORDPOR,HP BATTERIE ORDINATEUR DB06XL/DB03 / LB6Q /,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDM16,BATORDPOR,HP BATTERIE ORDINATEUR DM1-6 / mini311 /pt06,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDM33000,BATORDPOR,HP BATTERIE ORDINATEUR DM3-3000 3S2,BATTERIE ORDINATEUR PORTABLE,10000,2
HPDM4,BATORDPOR,HP BATTERIE ORDINATEUR DM4/CQ42/MU06/CQ57,BATTERIE ORDINATEUR PORTABLE,15000,17
HPDMI-3000,BATORDPOR,HP BATTERIE ORDINATEUR DM1-3000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDV1000,BATORDPOR,HP BATTERIE ORDINATEUR DV1000/DV4200/DV4200CTO/DV42000EA,BATTERIE ORDINATEUR PORTABLE,10000,1
HPDV2000,BATORDPOR,HP BATTERIE ORDINATEUR DV2000/ A900/C700EM/C700ET/C700LA,BATTERIE ORDINATEUR PORTABLE,10000,6
HPDV3000,BATORDPOR,HP BATTERIE ORDINATEUR DV3000,BATTERIE ORDINATEUR PORTABLE,10000,10
HPDV32000,BATORDPOR,HP BATTERIE ORDINATEUR DV3-2000,BATTERIE ORDINATEUR PORTABLE,10000,3
HPDV33000,BATORDPOR,HP BATTERIE ORDINATEUR DV3-3000,BATTERIE ORDINATEUR PORTABLE,10000,1
HPDV4,BATORDPOR,HP BATTERIE ORDINAT DV4/PRESARIO CQ40/CQ4-305AU/CQ40-313AX/CQ40-315AX,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDV45000,BATORDPOR,HP BATTERIE ORDINATEUR DV4-5000 DV4-5099 DV6-7000 DV6-7099 / MO06,BATTERIE ORDINATEUR PORTABLE,10000,2
HPDV78,BATORDPOR,HP BATTERIE ORDINATEUR DV7-8,BATTERIE ORDINATEUR PORTABLE,10000,0
HPDV8000,BATORDPOR,HP BATTERIE ORDINATEUR DV8000/DV8000SERIES/DV8000T/DV8000Z,BATTERIE ORDINATEUR PORTABLE,10000,4
HPDV9000,BATORDPOR,HP BATTERIE ORDINATEUR DV9000/DV9000EA/DV9000 SERIE/DV9000T,BATTERIE ORDINATEUR PORTABLE,10000,0
HPEL04,BATORDPOR,HP BATTERIE ORDINATEUR EL04/EL04XL/HSTNN-IB3R,BATTERIE ORDINATEUR PORTABLE,20000,6
HPF2098A,BATORDPOR,HP BATTERIE ORDINATEUR F2098A,BATTERIE ORDINATEUR PORTABLE,10000,0
HPF4809A,BATORDPOR,HP BATTERIE ORDINATEUR F4809A,BATTERIE ORDINATEUR PORTABLE,10000,0
HPFP06,BATORDPOR,HP BATTERIE ORDINATEUR FP06/PROBOOK 450 G1/G2/PROBOOK 440 G1 ...,BATTERIE ORDINATEUR PORTABLE,10000,0
HPHD04XL,BATORDPOR,HP BATTERIE ORDINATEUR HD04XL/HSTNN-IB3V/TPN-C104,BATTERIE ORDINATEUR PORTABLE,30000,1
HPHDMI6,BATORDPOR,HP BATTERIE ORDINATEUR HDMI6,BATTERIE ORDINATEUR PORTABLE,10000,0
HPHS04,BATORDPOR,HP BATTERIE ORDINATEUR HS04 HP 240 G4 NOTEBOOK PC HP 245 G4 /HS03,BATTERIE ORDINATEUR PORTABLE,10000,0
HPHV02XL,BATORDPOR,HP BATTERIE ORDINATEUR HV02XL,BATTERIE ORDINATEUR PORTABLE,20000,5
HPHY04,BATORDPOR,HP BATTERIE ORDINATEUR HY04 HP PAVILLON TOUCHSMART SLEEKBOOK 14 SERIE,BATTERIE ORDINATEUR PORTABLE,10000,31
HPJC04,BATORDPOR,HP BATTERIE ORDINATEUR  JC04 / JC03 /,BATTERIE ORDINATEUR PORTABLE,15000,1
HPK104,BATORDPOR,HP BATTERIE ORDINATEUR K104,BATTERIE ORDINATEUR PORTABLE,10000,0
HPKB06XL,BATORDPOR,HP BATTERIE ORDINATEUR KB06XL/HSTNN-DB7R,BATTERIE ORDINATEUR PORTABLE,25000,1
HPKI04,BATORDPOR,"HP BATTERIE ORDINATEUR KI04 PAVILLON 14-AB005TU, P 14-AB012TX, P 14-",BATTERIE ORDINATEUR PORTABLE,10000,0
HPKP03,BATORDPOR,HP BATTERIE ORDINATEUR KP03,BATTERIE ORDINATEUR PORTABLE,15000,7
HPLA03,BATORDPOR,HP BATTERIE ORDINATEUR LA03 14-Y   15-F,BATTERIE ORDINATEUR PORTABLE,10000,0
HPLA04,BATORDPOR,HP BATTERIE ORDINATEUR LA04 / LA03DF /LA03,BATTERIE ORDINATEUR PORTABLE,10000,0
HPLU06,BATORDPOR,HP BATTERIE ORDINATEUR LU06,BATTERIE ORDINATEUR PORTABLE,10000,9
HPLV06,BATORDPOR,HP BATTERIE ORDINATEUR LV06,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMB04XL,BATORDPOR,HP BATTERIE ORDINATEUR MB04XL /HSTNN-UB6X,BATTERIE ORDINATEUR PORTABLE,25000,0
HPMC04,BATORDPOR,HP BATTERIE ORDINATEUR MC04/ MC06,BATTERIE ORDINATEUR PORTABLE,10000,13
HPME03XL,BATORDPOR,HP BATTERIE ORDINATEUR ME03XL/ ORIGINAL,BATTERIE ORDINATEUR PORTABLE,20000,7
HPMINI10,BATORDPOR,HP BATTERIE ORDINATEUR MINI10,BATTERIE ORDINATEUR PORTABLE,10000,1
HPMINI1000,BATORDPOR,HP BATTERIE ORDINAT MINI1000/MINI 700EA/700ED/700EE/700EF/700EI/700EK,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMINI110,BATORDPOR,HP BATTERIE ORDINATEUR MINI110/110XP/110-1006TU/110-1012NR,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMINI1101000,BATORDPOR,HP BATTERIE ORDINATEUR MINI 110-1000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMINI1103000,BATORDPOR,HP BATTERIE ORDINATEUR MINI 110-3000PC/110-3000CA/110-3000EI/03TY,BATTERIE ORDINATEUR PORTABLE,10000,1
HPMINI1506,BATORDPOR,HP BATTERIE ORDINATEUR MINI 1506,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMINI2101000,BATORDPOR,HP BATTERIE ORDINATEUR MINI210-1000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPMINI2102000,BATORDPOR,HP BATTERIE ORDINATEUR 210-2000SERIES/210-2000EH/210-2000SM,BATTERIE ORDINATEUR PORTABLE,10000,1
HPMINI2103000,BATORDPOR,HP BATTERIE ORDINATEUR MINI 210-3000,BATTERIE ORDINATEUR PORTABLE,10000,5
HPMINI9,BATORDPOR,HP BATTERIE ORDINATEUR MINI9,BATTERIE ORDINATEUR PORTABLE,10000,2
HPMR03,BATORDPOR,HP BATTERIE ORDINATEUR MR03 HP PAVILLON 10 TOUCHSMART  SERIES HP P 10,BATTERIE ORDINATEUR PORTABLE,10000,5
HPMX03XL,BATORDPOR,HP BATTERIE ORDINATEUR MX03XL,BATTERIE ORDINATEUR PORTABLE,10000,0
HPN400C,BATORDPOR,HP BATTERIE ORDINATEUR N400C,BATTERIE ORDINATEUR PORTABLE,10000,0
HPN600C,BATORDPOR,HP BATTERIE ORDINATEUR N600C,BATTERIE ORDINATEUR PORTABLE,10000,0
HPNC4000,BATORDPOR,HP BATTERIE ORDINATEUR NC4000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPNC6000,BATORDPOR,HP BATTERIE ORDINATEUR NC6000,BATTERIE ORDINATEUR PORTABLE,10000,2
HPNC6100,BATORDPOR,HP BATTERIE ORDINATEUR NC6100       HP COMPAQ/6120,BATTERIE ORDINATEUR PORTABLE,10000,10
HPNC6120,BATORDPOR,HP BATTERIE ORDINATEUR NC6120/NC6200/6715S/6710S/..,BATTERIE ORDINATEUR PORTABLE,10000,6
HPNC8000,BATORDPOR,HP BATTERIE ORDINATEUR NC8000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPNP03XL,BATORDPOR,HP BATTERIE ORDINATEU NP03XL/HP PAVILLON X360 13-A010DX HSTNN-LB6L 76,BATTERIE ORDINATEUR PORTABLE,15000,2
HPNU03XL,BATORDPOR,HP BATTERIE ORDINATEUR NU03XL/TPN-W117,BATTERIE ORDINATEUR PORTABLE,20000,8
HPNX7000,BATORDPOR,HP BATTERIE ORDINATEUR NX7000,BATTERIE ORDINATEUR PORTABLE,10000,1
HPNX7400,BATORDPOR,HP BATTERIE ORDINATEUR NX7400,BATTERIE ORDINATEUR PORTABLE,10000,3
HPOA03,BATORDPOR,HP BATTERIE ORDINATEUR HPOA03/LBY5,BATTERIE ORDINATEUR PORTABLE,10000,0
HPOA04,BATORDPOR,HP BATTERIE ORDINATEUR OA04/ HSTNN-PB5Y TPN-F112,BATTERIE ORDINATEUR PORTABLE,10000,0
HPOD06XL,BATORDPOR,HP BATTERIE ORDINATEUR OD06XL,BATTERIE ORDINATEUR PORTABLE,20000,1
HPOM03XL,BATORDPOR,HP BATTERIE ORDINATEUR HP OM03XL,BATTERIE ORDINATEUR PORTABLE,25000,2
HPP03XL,BATORDPOR,HP BATTERIE ORDINATEUR P03XL,BATTERIE ORDINATEUR PORTABLE,15000,0
HPPA06,BATORDPOR,HP BATTERIE ORDINATEUR PA06/HSTNN-DB7K,BATTERIE ORDINATEUR PORTABLE,20000,7
HPPF06XL,BATORDPOR,HP BATTERIE ORDINATEUR PF06XL/HSTNN-DB7M,BATTERIE ORDINATEUR PORTABLE,25000,5
HPPI06,BATORDPOR,HP BATTERIE ORDINATEUR PI06 / 106 /,BATTERIE ORDINATEUR PORTABLE,10000,0
HPPK03XL,BATORDPOR,HP BATTERIE ORDINATEUR PK03XL/HSTNN-DB6S/,BATTERIE ORDINATEUR PORTABLE,25000,5
HPPL02XL,BATORDPOR,HP BATTERIE ORDINATEUR PL02XL HP PAVILLON 11-N X360 SERIES,BATTERIE ORDINATEUR PORTABLE,20000,0
HPPPDM16,BATORDPOR,HP BATTERIE ORDINATEUR PPDM1-6,BATTERIE ORDINATEUR PORTABLE,10000,0
HPPR06,BATORDPOR,HP BATTERIE ORDINATEUR PR06 /4530S / 4530/4430S/4540/4540S,BATTERIE ORDINATEUR PORTABLE,10000,0
HPPX03XL,BATORDPOR,HP BATTERIE ORDINATEUR PX03XL,BATTERIE ORDINATEUR PORTABLE,15000,1
HPR3000,BATORDPOR,HP BATTERIE ORDINATEUR R3000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPR470,BATORDPOR,HP BATTERIE ORDINATEUR R470 / R60 /,BATTERIE ORDINATEUR PORTABLE,10000,0
HPRA04,BATORDPOR,HP BATTERIE ORDINATEUR RA04,BATTERIE ORDINATEUR PORTABLE,10000,0
HPRI04,BATORDPOR,HP BATTERIE ORDINATEUR RI04 450 G3 470 G3 AND SO ON,BATTERIE ORDINATEUR PORTABLE,10000,0
HPRO04,BATORDPOR,HP BATTERIE ORDINATEUR RO04 HP PROBOOK 430/RO06 XL/,BATTERIE ORDINATEUR PORTABLE,15000,1
HPRR03XL,BATORDPOR,HP BATTERIE ORDINATEUR RR03XL / 450 G4 / 430 G4 / RR03-H,BATTERIE ORDINATEUR PORTABLE,20000,0
HPRR04,BATORDPOR,HP BATTERIE ORDINATEUR RR04XL,BATTERIE ORDINATEUR PORTABLE,20000,4
HPS04,BATORDPOR,HP BATTERIE ORDINATEUR S04,BATTERIE ORDINATEUR PORTABLE,10000,0
HPS101,BATORDPOR,HP BATTERIE ORDINATEUR S101,BATTERIE ORDINATEUR PORTABLE,10000,0
HPSB03XL,BATORDPOR,HP BATTERIE ORDINATEUR SB03XL / SB03 / 820-G1 / 820 G1 /,BATTERIE ORDINATEUR PORTABLE,20000,3
HPSG03XL,BATORDPOR,HP BATTERIE ORDINATEUR SG03XL/,BATTERIE ORDINATEUR PORTABLE,20000,8
HPSN03XL,BATORDPOR,HP BATTERIE ORDINATEUR SN03XL/820 G3/725 G3/430 G3,BATTERIE ORDINATEUR PORTABLE,20000,0
HPSR03XL,BATORDPOR,HP BATTERIE ORDINATEUR SR03XL/SR03,BATTERIE ORDINATEUR PORTABLE,25000,3
HPSR04XL,BATORDPOR,HP BATTERIE ORDINATEUR SR04XL/PN-Q194 TPN-C133 HSTNN-DB7W 917724-855,BATTERIE ORDINATEUR PORTABLE,25000,3
HPSS03XL,BATORDPOR,HP BATTERIE ORDINATEUR SS03XL /HSTNN-IB8C/HSTNN-DB8J/,BATTERIE ORDINATEUR PORTABLE,20000,0
HPTD06,BATORDPOR,HP BATTERIE ORDINATEUR TD06,BATTERIE ORDINATEUR PORTABLE,10000,0
HPTE03XL,BATORDPOR,HP BATTERIE ORDINATEUR TE03XL/HP PAVILLON 15.../HSTNN-UB7A,BATTERIE ORDINATEUR PORTABLE,20000,2
HPTF03XL,BATORDPOR,HP BATTERIE ORDINATEUR TF03XL/TF03/HSTNN-UB7J,BATTERIE ORDINATEUR PORTABLE,20000,0
HPTX100,BATORDPOR,HP BATTERIE ORDINATEUR TX100,BATTERIE ORDINATEUR PORTABLE,10000,0
HPTX1000,BATORDPOR,HP BATTERIE ORDINATEUR TX 1000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPVI04,BATORDPOR,HP BATTERIE ORDINATEUR VI04/HP 450,BATTERIE ORDINATEUR PORTABLE,10000,0
HPVK04,BATORDPOR,HP BATTERIE ORDINATEUR VK04/HP PAVILLON 14,BATTERIE ORDINATEUR PORTABLE,10000,0
HPVR03,BATORDPOR,HP BATTERIE ORDINATEUR VR03/HQ-TRE 70125,BATTERIE ORDINATEUR PORTABLE,25000,5
HPVS03XL,BATORDPOR,HP BATTERIE ORDINATEUR LAPTOP HP VS03XL/VS03,BATTERIE ORDINATEUR PORTABLE,25000,0
HPVT06XL,BATORDPOR,HP BATTERIE ORDINATEUR VT06XL/VT06,BATTERIE ORDINATEUR PORTABLE,25000,7
HPX2000,BATORDPOR,HP BATTERIE ORDINATEUR X2000,BATTERIE ORDINATEUR PORTABLE,10000,0
HPX401,BATORDPOR,HP BATTERIE ORDINATEUR X401,BATTERIE ORDINATEUR PORTABLE,10000,0
HPX451,BATORDPOR,HP BATTERIE ORDINATEUR X451,BATTERIE ORDINATEUR PORTABLE,10000,0
HPY04,BATORDPOR,HP BATTERIE ORDINATEUR Y04,BATTERIE ORDINATEUR PORTABLE,10000,0
HPZD7000,BATORDPOR,HP BATTERIE ORDINATEUR ZD7000,BATTERIE ORDINATEUR PORTABLE,10000,1
HT03XL,BATORDPOR,HP BATTERIE ORDINATEUR HT03XL/ HP 14-CE0014TU/ 14-MA0312NG,BATTERIE ORDINATEUR PORTABLE,15000,0
IBT616,BATORDPOR,IBM LENOVO BATTERIE ORDINATEUR IB-T61-6,BATTERIE ORDINATEUR PORTABLE,10000,0
K26,BATORDPOR,IBM LENOVO BATTERIE ORDINATEUR K26,BATTERIE ORDINATEUR PORTABLE,10000,1
L14S3A01,BATORDPOR,LENOVO BATTERIE ORDINATEUR L14S3A01/L14C3A01/,BATTERIE ORDINATEUR PORTABLE,20000,1
LE01AV417,BATORDPOR,LENOVO BATTERIE ORDINATEUR 01AV417,BATTERIE ORDINATEUR PORTABLE,25000,0
LEE570,BATORDPOR,LENOVO BATTERIE ORDINATEUR E570,BATTERIE ORDINATEUR PORTABLE,25000,2
LEN01AV421,BATORDPOR,LENOVO BATTERIE ORDINATEUR 01AV421/T510,BATTERIE ORDINATEUR PORTABLE,25000,0
LEN01AV445,BATORDPOR,LENOVO BATTERIE ORDINATEUR 01AV445 /E480,BATTERIE ORDINATEUR PORTABLE,15000,0
LEN120S,BATORDPOR,LENOVO BATTERIE ORDINATEUR IDEAOD 120S-11/ ORIGINAL,BATTERIE ORDINATEUR PORTABLE,25000,11
LEN24500,BATORDPOR,IBM-LEVONO BATTERIE ORDINATEUR 24500,BATTERIE ORDINATEUR PORTABLE,10000,0
LEN370,BATORDPOR,LENOVO BATTERIE ORDINATEUR YOGA 370,BATTERIE ORDINATEUR PORTABLE,25000,1
LENB590,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR B590,BATTERIE ORDINATEUR PORTABLE,20000,4
LENE430,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR E430,BATTERIE ORDINATEUR PORTABLE,15000,1
LENG103,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR G10-3,BATTERIE ORDINATEUR PORTABLE,10000,0
LENG230,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR G230,BATTERIE ORDINATEUR PORTABLE,10000,0
LENG460,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR G460,BATTERIE ORDINATEUR PORTABLE,10000,0
LENG504,BATORDPOR,LENOVO BATTERIE ORDINATEUR G50-4/G50-70,BATTERIE ORDINATEUR PORTABLE,15000,0
LENG5070PNC,BATORDPOR,LENOVO BATTERIE ORDINATEUR G50-70 PNC1214A02,BATTERIE ORDINATEUR PORTABLE,15000,0
LENL14M4P24,BATORDPOR,LENOVO BATTERIE ORDINATEUR L14M4P24/ ORIGINAL,BATTERIE ORDINATEUR PORTABLE,25000,13
LENS102,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR S10-2/210,BATTERIE ORDINATEUR PORTABLE,15000,0
LENS106BK,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR S10-6BK,BATTERIE ORDINATEUR PORTABLE,10000,0
LENS210,BATORDPOR,LENOVO BATTERIE ORDINATEUR S210/L12M3A01,BATTERIE ORDINATEUR PORTABLE,10000,0
LENSQU504,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR SQ504,BATTERIE ORDINATEUR PORTABLE,10000,3
LENT430S,BATORDPOR,LENOVO BATTERIE ORDINATEUR T430S,BATTERIE ORDINATEUR PORTABLE,25000,11
LENT470,BATORDPOR,LENOVO BATTERIE ORDINATEUR T460/T460S,BATTERIE ORDINATEUR PORTABLE,25000,6
LENT60BK,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR T60BK,BATTERIE ORDINATEUR PORTABLE,10000,3
LENV110,BATORDPOR,LENOVO BATTERIE ORDINATEUR V110-15ISK-80TL / L15L4A02,BATTERIE ORDINATEUR PORTABLE,20000,3
LENV320,BATORDPOR,LENOVO BATTERIE ORDINATEUR V320 330 V320 520/ ORIGINAL,BATTERIE ORDINATEUR PORTABLE,25000,8
LENX26,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR X26,BATTERIE ORDINATEUR PORTABLE,0,2
LENZ400,BATORDPOR,LENOVO BATTERIE ORDINATEUR Z400 / Z500,BATTERIE ORDINATEUR PORTABLE,25000,4
LEX240,BATORDPOR,LENOVO BATTERIE ORDINATEUR X240 /X250/T440/T440S/T450S/K2450,BATTERIE ORDINATEUR PORTABLE,20000,0
LGLM6,BATORDPOR,LG BATTERIE ORDINATEUR LM6,BATTERIE ORDINATEUR PORTABLE,10000,2
LGM1,BATORDPOR,LG BATTERIE ORDINATEUR M1,BATTERIE ORDINATEUR PORTABLE,10000,1
LGR410,BATORDPOR,LG BATTERIE ORDINATEUR R410,BATTERIE ORDINATEUR PORTABLE,0,2
M6D,BATORDPOR,MSI BATTERIE ORDINATEUR BTY-M6D MEDION ERAZER X6813 ERAZER X6811,BATTERIE ORDINATEUR PORTABLE,10000,2
MACA1245,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK A1245,BATTERIE ORDINATEUR PORTABLE,20000,1
MACA1322,BATORDPOR,"APPLE BATTERIE ORDINATEUR MACBOOK A1322/MACBOOK 13""/ A1278 /",BATTERIE ORDINATEUR PORTABLE,20000,0
MACMINI85W,BATORDPOR,BATTERIE ORDINATEUR MAC MINI 85W,BATTERIE ORDINATEUR PORTABLE,10000,0
MEDIONA24,BATORDPOR,MEDION BATTERIE ORDINATEUR A24,BATTERIE ORDINATEUR PORTABLE,10000,0
MSIBTYN42,BATORDPOR,BATTERIE ORDINATEUR MSI BTY- N42,BATTERIE ORDINATEUR PORTABLE,10000,0
MSIBTYN74,BATORDPOR,BATTERIE ORDINATEUR MSI BTY-N74,BATTERIE ORDINATEUR PORTABLE,10000,2
MSIR410,BATORDPOR,BATTERIE ORDINATEUR  R410 SQU-804,BATTERIE ORDINATEUR PORTABLE,10000,0
N100,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR N100 LENOVO 3000 C200 8922 3000 N100,BATTERIE ORDINATEUR PORTABLE,10000,4
N200,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR N200  LENOVO N200 SERIES (14   WIDE),BATTERIE ORDINATEUR PORTABLE,10000,4
NENBP8089,BATORDPOR,NEC BATTERIE ORDINATEUR NENBP8089,BATTERIE ORDINATEUR PORTABLE,10000,1
S9IBMLENOVO,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR S9,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMN110,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR N110,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMN15,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR N15,BATTERIE ORDINATEUR PORTABLE,10000,19
SAMN150,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR N150 N148 SERIES  N148-DA01,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMN210,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR N210,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMN310,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR N310 / NF210,BATTERIE ORDINATEUR PORTABLE,10000,2
SAMNC10,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR NC10,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMNC110,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR C110,BATTERIE ORDINATEUR PORTABLE,10000,14
SAMP30,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR P30,BATTERIE ORDINATEUR PORTABLE,10000,1
SAMQ35,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR Q35,BATTERIE ORDINATEUR PORTABLE,10000,1
SAMR20,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR R20,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMR405,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR R405,BATTERIE ORDINATEUR PORTABLE,10000,13
SAMR428,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR R428/R429/R440/R470,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMRV409,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR RV409 / RV415 /,BATTERIE ORDINATEUR PORTABLE,10000,0
SAMX15,BATORDPOR,SAMSUNG BATTERIE ORDINATEUR X15,BATTERIE ORDINATEUR PORTABLE,10000,1
SO2700,BATORDPOR,SONY BATTERIE ORDINATEUR 2700,BATTERIE ORDINATEUR PORTABLE,10000,0
SOB1200,BATORDPOR,SONY BATTERIE ORDINATEUR B1200,BATTERIE ORDINATEUR PORTABLE,10000,2
